name,provider,image
Dino Drop,Fat Panda,https://mediumrare.imgix.net/886f76c2efe669ee7657fe101d7bb920c475cd3ee1d94bca88068cf2928b5c4d?w=180&h=236&fit=min&auto=format
Wolf Gold 4 Pack,Pragmatic Play,https://mediumrare.imgix.net/993fd6c205ba315df40df87618b691714d7a36af7ee63f706acba364bcf8a27b?w=180&h=236&fit=min&auto=format
Diamond Link: Mighty Sevens,Novomatic,https://mediumrare.imgix.net/2103734ff7885416c57d692a2dd4a185f9ff050dca1a27c629930c88ed45f71c?w=180&h=236&fit=min&auto=format
Coin Strike 2: Hold and Win,Playson,https://mediumrare.imgix.net/2de5055c17a71e2565ae27e01ac861044c3f42991d3d82f93b21f8ed056e1f11?w=180&h=236&fit=min&auto=format
Key  Master,Penguin King,https://mediumrare.imgix.net/a51700787956b8499486f577c124fb599f40727dd69b71b3b062d71e9c26aa90?w=180&h=236&fit=min&auto=format
Lady of Fortune Destiny Spins,Play'n Go,https://mediumrare.imgix.net/a6c67cf4d9fa608434bc2be0f6ae7e3edffbec42585beebd5b7bc45243abfc01?w=180&h=236&fit=min&auto=format
Alibi,Peter & Sons,https://mediumrare.imgix.net/f0c1651ea271ce85bfd90bf667aab198bc73a8b2b5748de81efd4d62c70e269a?w=180&h=236&fit=min&auto=format
The Green Knight Oath of Thorns,Play'n Go,https://mediumrare.imgix.net/590d40b598ab3af498b06ae76e81e2b5b1fce443d976ff4faa0b25ebbe1116ba?w=180&h=236&fit=min&auto=format
Maya Lock,3 Oaks Gaming,https://mediumrare.imgix.net/5a45860bf69e38c6fedc5ae4956fa231cd4662de9d92ca00da8144fb133b07d9?w=180&h=236&fit=min&auto=format
Gem Trio,Pragmatic Play,https://mediumrare.imgix.net/8a63e0e96621a9d7fb4d8ad9aa6d2ea0ef1f8ab5d336b04c2ade7e681358b63b?w=180&h=236&fit=min&auto=format
Gold Portals Enhanced RTP,Pragmatic Play,https://mediumrare.imgix.net/7d4fca821455840473ca24a4a20ca0f62e65c99b6338de0c8dd31557c97b7d54?w=180&h=236&fit=min&auto=format
Crazy Crops,Slotmill,https://mediumrare.imgix.net/9a30c8018c210c231f5a2e8a7e461aca5b957b9c86f432f84ad170d04ac97053?w=180&h=236&fit=min&auto=format
Tsar Wars,Nolimit City,https://mediumrare.imgix.net/57b1419770a7095b14af226563adbf6ea732f72a03072534ed75fea01c489b2f?w=180&h=236&fit=min&auto=format
4 Horsemen 3 Inferno,Spinomenal,https://mediumrare.imgix.net/09c61844b39cd53ecef1d0df22b6614dcad33b45cb2671cb5a4fdf342ac47917?w=180&h=236&fit=min&auto=format
Pirate Bonanza 2,Backseat Gaming,https://mediumrare.imgix.net/244b354fb208171182c265b5635795f2e9ee22bd832d47cee67ccdb48f3864a8?w=180&h=236&fit=min&auto=format
Maximus Multiplus,Massive Studios,https://mediumrare.imgix.net/f4aad8590e5af81a66753a27905b3742329deffb4304ef2378d0f8e0bd5ac4cc?w=180&h=236&fit=min&auto=format
Charm Of The Dragon,Bullshark Games,https://mediumrare.imgix.net/95e5ff96f8bfce90c7a8904ff23700afe74ac0e99599cb43d5d6e9624b4ffb5d?w=180&h=236&fit=min&auto=format
Zombie School Megaways,Pragmatic Play,https://mediumrare.imgix.net/bd67700cf684d1daa75d808717669a10499b5524127bc7c67c2b0a1f3d5ea16c?w=180&h=236&fit=min&auto=format
Veracruz Wild,Popiplay,https://mediumrare.imgix.net/b84479bf7d196a8f6afb3151e017638d7b2dfbbf7f3b146c72f2ac7c5d489347?w=180&h=236&fit=min&auto=format
Juicy Jewels Supercharged,Penguin King,https://mediumrare.imgix.net/08d9c770cba2c7857a8fe93ed96be8395d7dd53b51cb6315818a469d36cb705b?w=180&h=236&fit=min&auto=format
Super Triple Fortune,Novomatic,https://mediumrare.imgix.net/8eac6d62f3a1ca33408d8cf56a7066672fac4cc053fd96420f5b14500106b5d2?w=180&h=236&fit=min&auto=format
Cashin' Joker,Play'n Go,https://mediumrare.imgix.net/99fa91c9404e0f9eaaaaa58a142d8839842b7b77d8f234c4e4973a636c25646d?w=180&h=236&fit=min&auto=format
